Player,Competetion,season,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG_y,npxG,xAG,SCA,GCA,Cmp_x,Att_x,Cmp%_x,PrgP,Carries,PrgC,Att_x.1,Succ,SoTA,GA,Saves,Save%,PSxG,Cmp_y,Att_y,Cmp%_y,Att (GK),Thr,Launch%,AvgLen,Att_y.1,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,AvgDist,Home
Peter González,La-Liga,2021-2022,do DOM,"LW,RW",19-150,5,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0.2,1,0,1,1,100,0,2,1,0,0,,,,,,,,,,,,,,,,,,,,,Barcelona
Jofre,La-Liga,2021-2022,es ESP,RB,20-197,10,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0.4,4,2,5,6,83.3,0,6,1,1,0,,,,,,,,,,,,,,,,,,,,,Real Sociedad
Álvaro Aguirre,La-Liga,2021-2022,es ESP,RW,21-333,9,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,3,100,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,Granada
Jesús Owono,La-Liga,2021-2022,gq EQG,GK,20-307,90,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,11,23,47.8,0,18,0,0,0,4,1,3,75,0.8,9,21,42.9,20,2,90,53.3,3,100,68.3,8,0,0,2,17.6,Rayo Vallecano
Naïs Djouahra,La-Liga,2021-2022,fr FRA,RM,22-040,15,0,0,0,0,0,0,0,0,16,1,0,0,0,0,0,1,0,11,14,78.6,1,6,0,0,0,,,,,,,,,,,,,,,,,,,,,Alavés
Javier Llabrés,La-Liga,2021-2022,es ESP,RW,19-113,20,0,0,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,5,9,55.6,0,6,0,1,0,,,,,,,,,,,,,,,,,,,,,Real Sociedad
Alvaro Sanz,La-Liga,2021-2022,es ESP,RM,20-322,20,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,8,10,80,1,5,0,1,0,,,,,,,,,,,,,,,,,,,,,Villarreal
Estanis,La-Liga,2021-2022,es ESP,RW,18-131,11,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,Villarreal
Carlo,La-Liga,2021-2022,es ESP,CM,20-325,7,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,4,100,2,4,2,0,0,,,,,,,,,,,,,,,,,,,,,Barcelona
Peru Nolaskoain,La-Liga,2021-2022,es ESP,LB,23-070,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,100,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,Atlético Madrid
Leo Román,La-Liga,2021-2022,es ESP,GK,21-186,90,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,19,28,67.9,0,14,0,1,1,8,2,6,75,2.1,3,12,25,19,4,42.1,35.7,9,44.4,39.4,17,1,5.9,2,12.8,Betis
Rafinha,La-Liga,2021-2022,br BRA,RM,28-330,77,0,0,0,0,2,0,0,0,42,2,0,1,0.3,0.3,0.1,2,0,27,32,84.4,1,20,2,4,3,,,,,,,,,,,,,,,,,,,,,Getafe
Álex Collado,La-Liga,2021-2022,es ESP,RM,22-261,23,0,0,0,0,0,0,0,0,13,1,0,2,0,0,0,1,0,7,8,87.5,0,8,0,2,1,,,,,,,,,,,,,,,,,,,,,Real Madrid
